symbol, min, max, average
AMZN, -0.968, 0.968, -0.008
CAC, -0.927, 0.918, -0.008
CARG, -0.85, 0.827, 0.019
CCBG, -0.946, 0.939, -0.017
EVOL, -0.836, 0.911, 0.022
FB, -0.936, 0.881, 0.01
FEUZ, -0.863, 0.955, 0.05
FNCH, -0.732, -0.473, -0.581
GOOG, -0.919, 0.923, -0.016
GOOGL, -0.937, 0.908, -0.018
IBM, -0.922, 0.935, -0.006
IMUX, -0.938, 0.914, 0.003
LMAOU, -0.865, 0.337, -0.252
LSTR, -0.896, 0.934, -0.007
NHIC, -0.591, 0.691, -0.038
OMP, -0.906, 0.847, -0.032
OPGN, -0.911, 0.925, -0.003
PALI, -0.942, 0.939, -0.007
REDU, -0.934, 0.952, -0.015
ROLL, -0.913, 0.94, 0.026
SLP, -0.945, 0.929, -0.002
TWTR, -0.882, 0.935, 0.044
VLYPP, -0.968, 0.941, 0.001
VRAY, -0.869, 0.952, 0.011
ZEAL, -0.901, 0.923, 0.028
